NGI ID	User ID	Mreads	>=Q30
P21365_1001	ND001_1	90.56	95.45
P21365_1002	ND001_2	81.37	93.77
P21365_1003	ND001_3	62.06	95.57
P21365_1004	ND006_1	119.78	96.65
P21365_1005	ND006_2	119.64	96.47
P21365_1006	ND006_3	97.96	96.51
P21365_1007	ND009_1	147.03	96.99
P21365_1008	ND009_2	143.63	95.72
P21365_1009	ND009_3	157.95	96.91
P21365_1010	ND010_1	120.44	96.13
P21365_1011	ND010_2	109.11	96.64
P21365_1012	ND010_3	103.77	96.11
P21365_1013	ND011_1	51.67	93.96
P21365_1014	ND011_2	62.02	94.01
P21365_1015	ND011_3	52.10	94.94
P21365_1016	ND021_1	34.88	91.76
P21365_1017	ND021_2	29.72	92.32
P21365_1018	ND021_3	20.29	92.37
P21365_1019	ND022_1	42.90	95.11
P21365_1020	ND022_2	35.42	94.82
P21365_1021	ND022_3	38.16	95.33
P21365_1022	ND023_1	18.52	93.22
P21365_1023	ND023_2	17.41	92.16
P21365_1024	ND023_3	17.05	93.98
P21365_1025	ND024_1	16.88	91.35
P21365_1026	ND024_2	14.41	93.53
P21365_1027	ND024_3	12.27	93.53
P21365_1028	ND026_1	21.85	93.72
P21365_1029	ND026_2	19.03	94.11
P21365_1030	ND026_3	15.40	94.60
P21365_1031	ND028_1	33.12	86.02
P21365_1032	ND028_2	26.81	85.80
P21365_1033	ND028_3	27.10	87.57
P21365_1034	ND029_1	20.14	94.27
P21365_1035	ND029_2	18.93	94.33
P21365_1036	ND029_3	14.04	94.19
P21365_1037	ND030_1	21.81	93.28
P21365_1038	ND030_2	26.68	94.33
P21365_1039	ND030_3	17.80	93.76
P21365_1040	ND031_1	25.89	93.72
P21365_1041	ND031_2	15.57	94.03
P21365_1042	ND031_3	21.56	94.05
P21365_1043	ND032_1	12.07	94.39
P21365_1044	ND032_2	18.19	93.52
P21365_1045	ND032_3	18.30	91.14
P21365_1046	ND034_1	22.00	84.78
P21365_1047	ND034_2	22.91	85.04
P21365_1048	ND034_3	14.85	83.26
P21365_1049	ND036_1	33.95	95.16
P21365_1050	ND036_2	21.29	95.31
P21365_1051	ND036_3	19.80	91.86
P21365_1052	ND038_1	27.87	83.45
P21365_1053	ND038_2	22.10	84.39
P21365_1054	ND038_3	28.54	85.13
P21365_1055	ND039_1	19.83	95.26
P21365_1056	ND039_2	5.27	95.03
P21365_1057	ND039_3	16.66	92.81
P21365_1058	ND040_1	15.31	94.56
P21365_1059	ND040_2	15.06	92.47
P21365_1060	ND040_3	10.51	94.51
