NGI ID	User ID	RC	Mreads	>=Q30
P37012_1001	ND142_1	NA	0.80	89.61
P37012_1002	ND142_2	NA	1.18	91.27
P37012_1003	ND142_3	NA	1.84	91.32
P37012_1004	ND161_1	NA	3.12	87.12
P37012_1005	ND161_2	NA	2.52	87.36
P37012_1006	ND161_3	NA	3.45	87.42
P37012_1007	ND166_1	NA	9.58	90.99
P37012_1008	ND166_2	NA	5.69	92.48
P37012_1009	ND166_3	NA	10.16	93.00
P37012_1010	ND167_1	NA	2.32	91.03
P37012_1011	ND167_2	NA	3.51	90.93
P37012_1012	ND167_3	NA	2.82	92.42
P37012_1013	ND168_1	NA	13.06	91.72
P37012_1014	ND168_2	NA	15.63	90.54
P37012_1015	ND168_3	NA	15.72	91.59
P37012_1016	ND170_1	NA	10.81	93.32
P37012_1017	ND170_2	NA	21.47	92.08
P37012_1018	ND170_3	NA	17.33	91.26
P37012_1019	ND171_1	NA	30.49	91.84
P37012_1020	ND171_2	NA	35.75	92.21
P37012_1021	ND171_3	NA	51.23	91.33
P37012_1022	ND178_1	NA	6.37	92.12
P37012_1023	ND178_2	NA	7.90	92.20
P37012_1024	ND178_3	NA	6.23	92.04
P37012_1025	ND180_1	NA	22.27	91.22
P37012_1026	ND180_2	NA	7.81	91.86
P37012_1027	ND180_3	NA	10.72	91.23
P37012_1028	ND182_1	NA	4.50	90.97
P37012_1029	ND182_2	NA	3.67	90.39
P37012_1030	ND182_3	NA	2.94	91.77
P37012_1031	ND183_1	NA	32.55	88.26
P37012_1032	ND183_2	NA	27.37	88.89
P37012_1033	ND183_3	NA	25.19	91.62
P37012_1034	ND187_1	NA	6.53	89.65
P37012_1035	ND187_2	NA	6.39	91.67
P37012_1036	ND187_3	NA	8.61	91.64
P37012_1037	ND188_1	NA	7.04	90.64
P37012_1038	ND188_2	NA	2.73	91.81
P37012_1039	ND188_3	NA	4.09	90.87
P37012_1040	ND195_1	NA	52.08	91.85
P37012_1041	ND195_2	NA	42.39	91.50
P37012_1042	ND195_3	NA	2.85	92.57
P37012_1043	ND196_1	NA	19.09	91.84
P37012_1044	ND196_2	NA	20.75	91.97
P37012_1045	ND196_3	NA	23.26	93.32
P37012_1046	ND197_1	NA	23.01	90.98
