CHROM,POS,A_Kalix_Baltic_Spring,B_Vaxholm_Baltic_Spring,DalBoB_Atlantic_Autumn,DalGeB_Atlantic_Autumn,DalInB_Atlantic_Spring,DalNsF_Atlantic_Autumn,DalNsS_Atlantic_Spring,G_Gamleby_Baltic_Spring,HGS10_Downs_EnglishChannel_Winter,HGS11_RingkobingFjord_NorthSea_Spring,HGS12_BornholmBasin_Baltic_Autumn,HGS15_NSSH_Atlantic_Spring,HGS16_Orkney_NorthSea_Autumn,HGS17_IsleOfMan_IrishSea_Autumn,HGS18_CelticSea_Atlantic_AutumnWinter,HGS19_TeelinBay_Atlantic_Winter,HGS1_Riga_Baltic_Spring,HGS20_CapeWrath_Atlantic_Spring,HGS21_Hebrides_Atlantic_Mixed,HGS22_CapeWrath_Atlantic_Autumn,HGS23_Clyde_Atlantic_Spring,HGS24_Landvik_Atlantic_Spring,HGS25_Lindas_Atlantic_Spring,HGS26_Lusterfjorden_Atlantic_Spring,HGS27_Gloppen_Atlantic_Spring,HGS2_Riga_Baltic_Spring,HGS3_Riga_Baltic_Autumn,HGS4_Riga_Baltic_Autumn,HGS5_Schlei_Baltic_Autumn,HGS6_Schlei_Baltic_Spring,HGS71_Rugen_Baltic_Spring,HGS72_Rugen_Baltic_Spring,HGS8_KattegatNorth_Atlantic_Spring,HGS9_Greenland_Atlantic_Spring,H_Fehmarn_Baltic_Autumn,J_Traslovslage_Baltic_Spring,LandvikS17_Norway_Baltic_Spring,N_NorthSea_Atlantic_Autumn,O_Hamburgsund_Atlantic_Spring,PB10_Skagerrak_Atlantic_Spring,PB11_Kalmar_Baltic_Spring,PB12_Karlskrona_Baltic_Spring,PB1_HastKar_Baltic_Spring,PB2_Iceland_Atlantic_Spring,PB4_Hudiksvall_Baltic_Spring,PB5_Galve_Baltic_Spring,PB6_Galve_Baltic_Summer,PB7_Galve_Baltic_Autumn,PB9_Kattegat_Atlantic_Spring,PN3_CentralBaltic_Baltic_Spring,Q_Norway_Atlantic_Atlantic_Spring,TysklandS18_Germany_Baltic
chr1,49996,0.45,0.53,0.77,0.8,0.18,0.67,0.27,0.68,0.29,0.04,0.38,0.69,0.16,0.41,0.23,0.33,0.53,0.54,0.24,0.34,0.28,0.29,0.47,0.45,0.44,0.38,0.42,0.32,0.03,0.03,0.21,0.39,0.31,0.91,0.32,0.21,0.19,0.39,0.22,0.27,0.56,0.68,0.47,0.54,0.68,0.5,0.45,0.4,0.11,0.47,0.59,0.11
chr1,4476806,0.8,0.7,0.1,0.14,0.06,0.05,0.2,0.79,0.15,0.68,0.82,0.09,0.04,0.12,0.08,0.07,0.64,0.12,0.23,0.06,0.23,0.48,0.13,0.0,0.03,0.8,0.41,0.5,0.83,0.75,0.75,0.67,0.39,0.19,0.53,0.58,0.28,0.06,0.24,0.39,0.79,0.71,0.77,0.24,0.65,0.61,0.75,0.42,0.35,0.76,0.16,0.73
chr1,11315569,0.77,0.86,1.0,1.0,1.0,1.0,1.0,0.68,1.0,0.54,0.84,1.0,1.0,1.0,1.0,1.0,0.76,0.94,1.0,1.0,1.0,0.5,0.81,0.9,0.97,0.78,0.81,0.61,0.38,0.46,0.36,0.35,0.89,1.0,0.78,0.29,0.64,1.0,0.58,0.5,0.64,0.73,0.89,1.0,0.82,0.79,0.73,0.86,0.51,0.89,1.0,0.41
chr1,11329331,0.13,0.04,0.38,0.52,0.6,0.5,0.38,0.0,0.44,0.0,0.15,0.59,0.35,0.44,0.56,0.3,0.02,0.35,0.52,0.38,0.33,0.17,0.54,0.52,0.52,0.11,0.04,0.1,0.06,0.18,0.0,0.12,0.56,0.61,0.1,0.18,0.5,0.45,0.4,0.22,0.07,0.04,0.07,0.39,0.14,0.0,0.05,0.06,0.31,0.1,0.52,0.03
chr1,11354293,0.11,0.06,0.4,0.41,0.65,0.42,0.26,0.13,0.46,0.0,0.06,0.71,0.52,0.23,0.5,0.48,0.06,0.39,0.5,0.48,0.3,0.21,0.62,0.48,0.46,0.22,0.1,0.08,0.0,0.19,0.05,0.1,0.58,0.48,0.14,0.26,0.46,0.32,0.41,0.28,0.0,0.07,0.09,0.46,0.15,0.0,0.07,0.0,0.11,0.23,0.31,0.09
chr1,12294375,0.39,0.32,0.85,0.89,0.59,0.89,0.68,0.26,0.72,0.75,0.63,0.88,0.81,0.69,0.81,1.0,0.46,0.88,0.88,0.8,0.67,0.85,0.67,0.65,0.71,0.33,0.63,0.62,0.67,0.64,0.74,0.71,0.93,1.0,0.83,0.87,0.8,0.89,0.69,0.63,0.42,0.27,0.42,0.83,0.48,0.33,0.33,0.45,0.64,0.38,0.73,0.81
chr1,12315275,0.79,0.33,0.9,1.0,1.0,1.0,1.0,0.25,0.92,0.83,0.62,1.0,0.86,0.97,1.0,1.0,0.53,1.0,0.97,1.0,1.0,0.69,0.82,0.88,0.8,0.66,0.84,0.72,0.48,0.72,0.68,0.56,0.93,0.96,1.0,0.82,0.92,1.0,0.79,0.88,0.53,0.59,0.53,0.93,0.74,0.43,0.42,0.64,0.67,0.59,1.0,0.68
chr1,12481213,0.39,0.18,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.45,0.55,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.03,0.04,0.08,0.41,0.0,0.13,0.09,0.44,0.56,0.59,0.44,0.38,0.19,0.37,0.17,0.0,0.6,0.41,0.31,0.0,0.17,0.22,0.32,0.27,0.15,0.0,0.32,0.06,0.29,0.7,0.39,0.39,0.02,0.42
chr1,12497699,0.64,0.51,0.29,0.37,0.32,0.45,0.18,0.69,0.23,0.71,0.71,0.26,0.29,0.2,0.27,0.3,0.45,0.15,0.3,0.34,0.21,0.68,0.36,0.31,0.28,0.59,0.77,0.65,0.64,0.74,0.5,0.67,0.56,0.11,0.83,0.61,0.8,0.19,0.41,0.6,0.67,0.57,0.56,0.14,0.73,0.62,0.57,0.83,0.74,0.51,0.19,0.73
chr1,12930404,0.29,0.14,0.64,0.74,0.75,0.67,0.65,0.38,0.84,0.61,0.39,0.63,0.81,0.76,0.7,0.79,0.39,0.75,0.69,0.76,0.64,0.56,0.59,0.73,0.61,0.29,0.62,0.42,0.41,0.67,0.7,0.23,0.61,0.6,0.56,0.63,0.71,0.88,0.73,0.73,0.15,0.36,0.09,0.89,0.22,0.17,0.32,0.71,0.55,0.08,0.76,0.43
